Frequency,Prominence,Section,Scored Labels,Scored Probabilities
-0.926163899702079,-1.01469290246469,1,1,0.123528622090817
-0.926163899702079,-0.321167424190001,1,1,0.117581710219383
-0.926163899702079,0.635610039827244,1,1,0.109785951673985
-0.926163899702079,0.548876148369932,1,1,0.110473543405533
-0.926163899702079,0.540569280869817,1,1,0.110539585351944
1.07365018872346,0.383968255772207,2,2,0.932354986667633
-0.926163899702079,2.31843192697999,1,1,0.0971712246537209
-0.926163899702079,0.0253727584655452,1,1,0.114704191684723
-0.926163899702079,-0.00242469427070583,1,1,0.114932723343372
1.07365018872346,-0.435323855414463,2,2,0.936416983604431
1.07365018872346,-0.397106579304863,2,2,0.936232686042786
-0.926163899702079,-0.755096715865475,1,1,0.121272914111614
-0.926163899702079,-0.341850175942232,1,1,0.117755398154259
-0.926163899702079,-0.300507457367917,1,1,0.117408432066441
1.07365018872346,-0.264950096796676,2,2,0.935591459274292
-0.926163899702079,-0.0227217252972365,1,1,0.115099854767323
-0.926163899702079,-0.0293707302120922,1,1,0.115154646337032
1.07365018872346,-1.00064647663384,2,2,0.939086139202118
-0.926163899702079,2.18982421425234,1,1,0.0980877578258514
1.57360371082985,0.110031592741662,2,2,0.978534340858459
1.07365018872346,-0.405174721169525,2,2,0.936271667480469
0.573696666617078,-0.904655757796767,2,2,0.825444161891937
-0.926163899702079,-0.807837304784206,1,1,0.121728301048279
-0.926163899702079,-0.508359997412501,1,1,0.119161978363991
-0.926163899702079,0.336605487930011,1,1,0.11217226088047
-0.926163899702079,1.27862745540105,1,1,0.104804523289204
-0.926163899702079,0.950728650514636,1,1,0.107319310307503
0.573696666617078,-1.32221840315394,2,2,0.830257773399353
1.07365018872346,-0.454935363529852,2,2,0.936511397361755
0.573696666617078,-1.62608254657059,2,2,0.83369380235672
1.07365018872346,-0.345243794526249,2,2,0.935981810092926
-1.42611742180846,-0.452872656672242,1,1,0.0399682149291039
-0.926163899702079,-0.568777331716975,1,1,0.119675919413567
0.573696666617078,-1.29522564898786,2,2,0.829949855804443
1.07365018872346,-0.543215068558152,2,2,0.93693470954895
1.07365018872346,0.396150853740357,2,2,0.932292819023132
-0.926163899702079,3.31286796191351,1,1,0.0903391316533089
-0.926163899702079,-0.483286666687359,1,1,0.118949227035046
1.07365018872346,-0.918405259738309,2,2,0.938704431056976
-1.42611742180846,-0.589086202201133,1,1,0.0403931625187397
-0.926163899702079,0.331435315741445,1,1,0.112213909626007
1.07365018872346,1.50211659831105,2,2,0.926422417163849
-0.926163899702079,0.315738687184683,1,1,0.112340472638607
-0.926163899702079,-0.42195390723624,1,1,0.118430271744728
1.07365018872346,-0.813014387410554,2,2,0.938212037086487
-0.926163899702079,-1.14360900317406,1,1,0.124662138521671
0.573696666617078,-1.38747187844773,2,2,0.83100038766861
1.07365018872346,-1.65802541747122,2,2,0.942057967185974
-0.926163899702079,-0.586633542853588,1,1,0.119828179478645
1.07365018872346,-0.1724382690568,2,2,0.935139060020447
-0.926163899702079,0.393247417629816,1,1,0.111716754734516
-0.926163899702079,-0.384085134489721,1,1,0.118110805749893
0.573696666617078,-0.698610171249092,2,2,0.823029577732086
-0.926163899702079,0.0285231848308033,1,1,0.114678286015987
-0.926163899702079,0.489861845106059,1,1,0.110943540930748
-0.926163899702079,-0.366507006860703,1,1,0.117962777614594
-1.42611742180846,-0.205681232418183,1,1,0.0392079651355743
-0.926163899702079,0.200192555882316,1,1,0.113275915384293
-0.926163899702079,0.135501066571153,1,1,0.113802634179592
1.07365018872346,-0.632154232885058,2,2,0.937358498573303
1.07365018872346,-1.18227518146363,2,2,0.939921140670776
-0.926163899702079,0.380412378143315,1,1,0.111819833517075
-0.926163899702079,-0.607780179234566,1,1,0.120008707046509
-1.42611742180846,3.30266308799748,1,1,0.0298091005533934
-0.926163899702079,0.600696511510265,1,1,0.110062286257744
1.07365018872346,1.80999193049536,2,2,0.924706637859344
-0.926163899702079,0.860943738237469,1,1,0.108017101883888
-0.926163899702079,1.14020441226997,1,1,0.105859749019146
0.573696666617078,-0.246997071301698,2,2,0.817645668983459
1.07365018872346,-0.366759366614283,2,2,0.936085999011993
1.07365018872346,-0.995238595347761,2,2,0.939061045646667
-0.926163899702079,-0.605135235882543,1,1,0.119986109435558
1.07365018872346,-0.96517293747713,2,2,0.938921749591827
-0.926163899702079,-0.192894606130328,1,1,0.11650937050581
-0.926163899702079,2.22311425128553,1,1,0.0978497639298439
-0.926163899702079,1.49968799500196,1,1,0.103138610720634
-0.926163899702079,-0.491770356618367,1,1,0.119021184742451
-0.926163899702079,0.182931808703864,1,1,0.113416254520416
1.07365018872346,-0.704307104754653,2,2,0.93770033121109
1.07365018872346,0.181650170963515,2,2,0.933379948139191
1.07365018872346,-0.0353823924651811,2,2,0.934463322162628
-0.926163899702079,0.358481887750266,1,1,0.111996129155159
-0.926163899702079,0.234246129595239,1,1,0.112999513745308
1.07365018872346,-0.679518995662019,2,2,0.937583088874817
-0.926163899702079,0.540403948673559,1,1,0.110540896654129
1.07365018872346,-0.21741310212033,2,2,0.935359358787537
-0.926163899702079,0.569663851872891,1,1,0.11030837893486
1.07365018872346,0.264743282314986,2,2,0.932960689067841
0.573696666617078,1.45499398182555,2,2,0.796214044094086
-0.926163899702079,-0.623748319067353,1,1,0.120145194232464
-0.926163899702079,-0.473016631929943,1,1,0.118862204253674
-0.926163899702079,-0.38181818802789,1,1,0.118091732263565
-1.42611742180846,1.61950551468904,1,1,0.0340092070400715
1.07365018872346,-1.08364129180871,2,2,0.939469039440155
-0.926163899702079,1.34239722901143,1,1,0.104321546852589
0.573696666617078,2.06012065581911,2,2,0.78815621137619
1.07365018872346,-0.415858169376256,2,2,0.936323225498199
1.07365018872346,-1.32609465722147,2,2,0.940574765205383
-0.926163899702079,3.41850185773602,1,1,0.0896393582224846
1.07365018872346,-0.8838957202469,2,2,0.938543617725372
-0.926163899702079,-0.432458003004533,1,1,0.118519015610218
1.07365018872346,0.14662838059465,2,2,0.933555841445923
-0.926163899702079,-0.505110346616791,1,1,0.119134373962879
0.573696666617078,-1.54789522753945,2,2,0.832815051078796
0.573696666617078,-0.777746669105319,2,2,0.823960065841675
1.07365018872346,-0.78111861648264,2,2,0.938062310218811
-0.926163899702079,0.420370493483776,1,1,0.111499197781086
1.07365018872346,0.038305456434284,2,2,0.934097349643707
-0.926163899702079,0.559276505513354,1,1,0.110390886664391
-0.926163899702079,-0.595226408832286,1,1,0.119901515543461
-0.926163899702079,0.0172983771451025,1,1,0.114770524203777
1.07365018872346,-0.028750035266698,2,2,0.934430480003357
-0.926163899702079,1.06505345774277,1,1,0.106436543166637
1.07365018872346,0.188810695156388,2,2,0.933343887329102
0.573696666617078,-1.46526014717,2,2,0.831882238388062
-0.926163899702079,0.216815076995328,1,1,0.113140940666199
1.07365018872346,-0.0477452054980171,2,2,0.934524536132813
0.573696666617078,-0.687149738083821,2,2,0.82289457321167
0.573696666617078,0.192952586485747,2,2,0.812279164791107
-0.926163899702079,-0.334887106873242,1,1,0.117696911096573
